us_city,full_us_state,us_state,population,density,"City,State",airport
Columbus,Georgia,GA,189885,877.5,"Columbus,GA",KCSG
Grand Rapids,Michigan,MI,188040,4235.6,"Grand Rapids,MI",KGRR
Salt Lake City,Utah,UT,186440,1678,"Salt Lake City,UT",KSLC
Tallahassee,Florida,FL,181376,1809.3,"Tallahassee,FL",KTLH
Worcester,Massachusetts,MA,181045,4844.5,"Worcester,MA",KORH
Newport News,Virginia,VA,180719,2630,"Newport News,VA",KPHF
Huntsville,Alabama,AL,180105,861.5,"Huntsville,AL",KHUA
Knoxville,Tennessee,TN,178874,1815.6,"Knoxville,TN",KTYS
Providence,Rhode Island,RI,178042,9676.1,"Providence,RI",KPVD
Santa Clarita,California,CA,176320,3344.7,"Santa Clarita,CA",K3A6
Grand Prairie,Texas,TX,175396,2432.5,"Grand Prairie,TX",KGPM
Brownsville,Texas,TX,175023,1322.6,"Brownsville,TX",KBRO
Jackson,Mississippi,MS,173514,1562.5,"Jackson,MS",KHKS
Overland Park,Kansas,KS,173372,2316.5,"Overland Park,KS",KNKA
Garden Grove,California,CA,170883,9524.6,"Garden Grove,CA",KFUL
Santa Rosa,California,CA,167815,4063.9,"Santa Rosa,CA",KSTS
Chattanooga,Tennessee,TN,167674,1222.5,"Chattanooga,TN",KCHA
Oceanside,California,CA,167086,4052.1,"Oceanside,CA",KOKB
Fort Lauderdale,Florida,FL,165521,4761.1,"Fort Lauderdale,FL",KFLL
Rancho Cucamonga,California,CA,165269,4147.2,"Rancho Cucamonga,CA",KONT
Port St. Lucie,Florida,FL,164603,1444.5,"Port St. Lucie,FL",KSUA
Ontario,California,CA,163924,3282.4,"Ontario,CA",KONT
Vancouver,Washington,WA,161791,3482.6,"Vancouver,WA",KVUO
Tempe,Arizona,AZ,161719,4050.1,"Tempe,AZ",KPHX
Springfield,Missouri,MO,159498,1951.8,"Springfield,MO",KSGF
Lancaster,California,CA,156633,1661.3,"Lancaster,CA",KWJF
Eugene,Oregon,OR,156185,3572.2,"Eugene,OR",KEUG
Pembroke Pines,Florida,FL,154750,4671.1,"Pembroke Pines,FL",KHWO
Salem,Oregon,OR,154637,3228.6,"Salem,OR",KSLE
